ID,Axe,Theme,Criteres,Objectif_controle,Procedures_audit,Preuves_attendues,Interlocuteurs,Echantillonnage,Statut,Commentaires
A-01,Gouvernance SSI,Organisation et responsabilites,"ISO27001-5 Leadership; ISO27002-5.2/5.3",Confirmer responsabilites SSI et pilotage minimal,"Entretien direction + referent SI; revue organigramme; verification existence roles (RSSI/IT/prestataire)","Organigramme; RACI/fiche de role; compte-rendus reunions","Direction; Referent SI; Prestataire",NA,Cloture,
A-02,Gouvernance SSI,Politiques et procedures,"ISO27001-7/8/9; ISO27002-5.1/5.36",Evaluer cadre documentaire (politiques cles),"Revue documentaire + questions de mise en pratique","Politiques (mots de passe, acces, sauvegardes, incidents); procedures","Direction; Referent SI",NA,Cloture,
A-03,Inventaire et actifs,Inventaire materiels/logiciels,"ISO27002-5.9/5.10",Valider visibilite sur actifs et responsabilites,"Revue inventaire; observation parc; rapprochement licences","Inventaire; liste postes; liste logiciels; contrats","IT/Prestataire; Accueil","5-10 postes",Cloture,
A-04,Acces et identites,Comptes utilisateurs,"ISO27002-5.15/5.16/5.18; RGPD-32",Limiter acces au besoin et tracer,"Revue gestion entrees/sorties; revue comptes; entretiens; verification comptes partages","Liste comptes; procedure onboarding/offboarding; preuves suppression comptes","IT/Prestataire; RH/Direction","3 comptes recents + 3 comptes anciens",Cloture,
A-05,Acces et identites,Authentification MFA mots de passe,"ANSSI-mots-de-passe; ISO27002-5.17",Reduire risque compromission,"Revue politique; observation parametres (sans exploitation); entretien sur MFA; controle complexite/rotation si applicable","Politique mdp; captures parametres; preuve MFA (admin/boite mail)","IT/Prestataire","2 postes + 2 services (mail/app)",Cloture,
A-06,Acces et identites,Droits applicatifs MedSimple,"ISO27002-5.18; RGPD-25/32",Eviter droits excessifs sur donnees sante,"Revue profils/roles applicatifs + test fonctionnel en lecture","Exports roles; matrice droits; capture configuration","Responsable applicatif; Medecin; Accueil","3 profils (accueil/medecin/admin)",Cloture,
A-07,Postes et securite,Correctifs mises a jour,"ANSSI-hygiene; ISO27002-8.8",Limiter vulnerabilites connues,"Observation versions OS; revue gestion patch; entretien; verification auto-update","Captures Windows Update; politique patch; rapports outil/antivirus","IT/Prestataire","3 postes",Cloture,
A-08,Postes et securite,Antimalware EDR,"ISO27002-8.7",Detecter/empecher malware,"Verification presence agent; revue politique; entretien sur alerting","Console AV/EDR (captures); logs alertes","IT/Prestataire","3 postes",Cloture,
A-09,Reseau,Separation Wi-Fi,"ISO27002-8.20/8.21",Limiter propagation et acces non autorise,"Observation routeur/switch/Wi-Fi; verification SSID; chiffrement; reseau invite","Captures config Wi-Fi; plan IP; regles firewall (lecture)","IT/Prestataire",NA,Cloture,
A-10,Reseau,Filtrage pare-feu,"ISO27002-8.22",Limiter exposition Internet,"Revue regles firewall (lecture); entretien sur ports; inventaire services exposes","Exports regles; documentation; preuves absence port critique","IT/Prestataire",NA,Cloture,
A-11,Sauvegardes,Strategie 3-2-1,"ANSSI-sauvegardes; ISO27002-8.13",Assurer restauration apres incident,"Revue politique; inventaire supports; frequence; retention; offsite; chiffrement","Plan sauvegarde; logs taches; localisation supports; preuve offsite","IT/Prestataire; Direction","1 mois d'historique",Cloture,
A-12,Sauvegardes,Tests de restauration,"ISO27002-8.13",Valider efficacite des sauvegardes,"Demander preuve test recent; sinon exiger test encadre (si autorise) ou simulation documentaire","PV test; captures; fichier restaure (anonymise)","IT/Prestataire","1 test",Cloture,
A-13,Journaux et supervision,Logs,"ISO27002-8.15/8.16",Permettre investigation incident,"Revue sources de logs; conservation; acces; alerting","Politique logs; captures SIEM/Windows event; duree retention","IT/Prestataire",NA,Cloture,
A-14,Incidents,Processus de reponse,"ISO27002-5.24/5.25; RGPD-33/34",Reagir vite et notifier si necessaire,"Revue procedure; roles; exercice table-top ransomware","Procedure incident; arbre d'appel; PV exercice","Direction; IT; DPO (si existe)","1 scenario",Cloture,
A-15,Continuite,PCA PRA minimal,"ISO27002-5.30/5.31",Maintenir soins essentiels,"Entretien; revue procedures; identification applications critiques","Liste services critiques; procedure papier; RTO/RPO","Direction; Metiers",NA,Cloture,
A-16,RH et sensibilisation,Formation phishing,"ISO27002-6.3; ANSSI",Reduire compromission identifiants,"Revue supports; preuve session; questionnaire court","Support formation; feuille presence; quiz","Direction; Personnel","5 personnes",Cloture,
A-17,Fournisseurs,Contrats sous-traitants,"ISO27002-5.19/5.20/5.21; RGPD-28",Assurer clauses securite et responsabilite,"Revue contrats prestataire IT/editeur/hebergeur; DPA; attestations","Contrats; DPA; attestations HDS (si applicable)","Direction; Achats/IT","2-3 contrats",Cloture,
A-18,RGPD,Registre et DPIA,"RGPD-30/35",Traçabilite traitements et risques,"Revue registre; verifier existence DPIA si necessaire; base legale; durees","Registre traitements; DPIA (si requis); mentions info","Direction; DPO",NA,Cloture,
A-19,RGPD,Droits personnes et violations,"RGPD-12 a 23; 33/34",Capacite a repondre aux demandes et incidents,"Revue procedure droits; delais; modeles; journal demandes","Procedure; modeles reponse; registre demandes","Direction; DPO","3 cas fictifs",Cloture,
A-20,Cloture,Validation constats et restitution,"ISO19011 (bonnes pratiques)",Aligner comprehension et plan d'actions,"Reunion de cloture; validation factuelle; arbitrage priorites","Compte-rendu; plan actions valide; decisions","Direction; IT; Metiers",NA,Cloture,
